"Date","Price","Open","High","Low","Vol.","Change %"
"03/20/2024","841.04","847.51","849.01","840.11","885.42M","-0.58%"
"03/19/2024","845.98","847.83","852.28","845.67","834.04M","-0.32%"
"03/18/2024","848.72","848.91","853.47","847.53","981.08M","0.19%"
"03/15/2024","847.13","850.59","852.21","847.03","1.54B","-0.85%"
"03/14/2024","854.36","846.82","854.80","845.14","1.06B","0.90%"
"03/13/2024","846.75","843.14","849.14","842.03","1.11B","0.40%"
"03/12/2024","843.40","845.52","847.20","839.44","988.60M","0.08%"
"03/11/2024","842.76","845.37","848.59","841.96","923.63M","-0.62%"
"03/08/2024","848.02","839.01","848.12","838.48","903.88M","1.15%"
"03/07/2024","838.39","838.82","840.66","833.14","1.05M","0.13%"
"03/06/2024","837.26","827.70","841.06","827.43","1.11B","0.95%"
"03/05/2024","829.39","828.85","831.72","823.55","1.21B","-0.26%"
"03/04/2024","831.58","834.91","837.55","830.85","914.68M","-0.27%"
"03/01/2024","833.85","836.02","840.06","832.36","1.30B","-0.28%"
"02/29/2024","836.19","841.16","841.95","833.11","2.44M","-0.66%"
"02/28/2024","841.77","846.66","846.86","841.21","1.10M","-0.96%"
"02/27/2024","849.90","853.81","856.71","847.84","1.52M","-0.61%"
"02/23/2024","855.12","858.19","858.50","853.61","1.31M","-0.28%"
"02/22/2024","857.54","854.20","859.80","851.40","1.39B","0.65%"
"02/21/2024","852.03","844.02","852.93","840.61","1.59B","1.10%"
"02/20/2024","842.74","847.04","847.66","838.50","1.10B","-0.41%"
"02/19/2024","846.24","843.27","848.38","842.38","868.23M","0.03%"
"02/16/2024","845.97","850.72","852.74","843.33","1.14M","0.09%"
"02/15/2024","845.18","845.37","848.93","842.42","1.17M","0.08%"
"02/14/2024","844.51","843.66","846.56","841.50","941.79K","-0.76%"
"02/13/2024","850.94","851.54","854.90","850.34","932.79K","0.17%"
"02/12/2024","849.52","849.26","851.39","847.02","796.56K","0.11%"
"02/09/2024","848.58","850.41","851.60","846.79","684.73K","-0.12%"
"02/08/2024","849.62","856.49","859.91","849.39","1.08M","-0.91%"
"02/07/2024","857.43","857.17","859.14","853.17","1.11M","0.24%"
"02/06/2024","855.37","847.98","858.54","847.98","1.40B","1.05%"
"02/05/2024","846.52","846.28","851.02","843.82","1.38B","-0.09%"
"02/02/2024","847.31","841.95","848.96","841.95","1.17M","1.33%"
"02/01/2024","836.15","833.73","840.22","829.82","1.16M","0.26%"
"01/31/2024","834.02","839.59","839.77","830.73","1.31M","-0.53%"
"01/30/2024","838.49","840.65","841.48","836.49","1.27M","-0.33%"
"01/29/2024","841.30","841.29","844.12","834.65","1.04B","0.53%"
"01/26/2024","836.86","841.95","844.54","834.10","1.10M","-0.64%"
"01/25/2024","842.28","843.07","844.75","838.43","1.24M","-0.46%"
"01/24/2024","846.15","831.57","847.08","829.74","1.51M","1.88%"
"01/23/2024","830.52","839.60","841.32","827.94","1.86M","-0.74%"
"01/22/2024","836.68","845.91","845.98","836.19","2.94B","-1.03%"
"01/19/2024","845.38","845.84","849.15","842.24","1.96B","0.54%"
"01/18/2024","840.80","845.14","847.59","838.93","1.54M","-0.33%"
"01/17/2024","843.57","853.82","853.82","841.78","1.74M","-1.57%"
"01/16/2024","857.05","859.99","860.91","855.73","928.12M","-0.41%"
"01/15/2024","860.62","866.88","866.94","859.27","692.36K","-0.58%"
"01/12/2024","865.60","864.66","867.66","862.28","977.20K","0.20%"
"01/11/2024","863.87","868.42","869.04","862.95","724.30K","-0.36%"
"01/10/2024","866.99","868.76","870.35","864.32","1.34M","-0.11%"
"01/09/2024","867.94","875.53","875.92","867.32","957.74K","-0.10%"
"01/08/2024","868.83","874.37","874.95","866.11","1.12M","-0.68%"
"01/05/2024","874.81","879.15","883.14","873.06","1.02M","-0.75%"
"01/04/2024","881.44","879.05","882.38","873.90","1.28M","0.10%"
"01/03/2024","880.60","883.52","885.69","878.49","1.16M","-0.48%"
"01/02/2024","884.83","874.70","886.13","872.71","1.10M","1.09%"
"12/28/2023","875.25","874.11","878.53","873.37","1.39M","0.17%"
"12/27/2023","873.79","878.06","878.77","871.14","1.06M","-0.40%"
"12/26/2023","877.26","874.36","877.85","872.48","774.17K","0.32%"
"12/25/2023","874.45","871.16","875.14","870.85","481.32M","0.34%"
"12/22/2023","871.46","872.37","872.51","866.68","859.28M","0.07%"
"12/21/2023","870.81","865.31","873.21","864.77","1.02M","0.18%"
"12/20/2023","869.24","869.00","874.18","866.80","962.14K","0.26%"
"12/19/2023","866.96","866.53","868.67","862.78","767.06K","0.21%"
"12/18/2023","865.13","860.30","866.42","857.39","691.10K","0.17%"
"12/15/2023","863.64","858.69","867.51","856.70","1.65M","1.03%"
"12/14/2023","854.81","849.50","855.70","846.89","1.03M","1.62%"
"12/13/2023","841.20","847.63","847.75","838.77","973.59K","-1.10%"
"12/12/2023","850.55","854.50","854.50","847.59","924.64K","-0.25%"
"12/08/2023","852.69","852.30","857.60","849.39","984.88K","0.32%"
"12/07/2023","850.00","852.82","853.11","846.17","1.21M","-0.87%"
"12/06/2023","857.44","854.80","860.74","852.03","980.91K","0.20%"
"12/04/2023","855.70","849.48","859.56","848.07","868.29K","0.32%"
"12/01/2023","852.94","853.57","854.87","847.86","884.91M","0.00%"
"11/30/2023","852.94","858.85","858.98","847.51","2.41M","-0.58%"
"11/29/2023","857.90","868.96","868.99","857.89","1.31M","-0.98%"
"11/28/2023","866.36","865.27","869.35","862.16","1.00M","0.65%"
"11/27/2023","860.75","859.18","863.31","855.17","1.02M","-0.24%"
"11/24/2023","862.82","868.14","869.82","860.93","757.64K","-0.56%"
"11/23/2023","867.64","874.93","874.93","863.72","897.34K","-0.79%"
"11/22/2023","874.59","879.86","879.86","870.12","1.12M","-0.78%"
"11/21/2023","881.47","884.79","884.79","877.52","998.28M","0.25%"
"11/20/2023","879.24","876.32","880.17","872.58","1.16M","0.28%"
"11/17/2023","876.75","873.02","882.03","871.70","1.32M","-0.26%"
"11/16/2023","879.00","877.59","879.31","873.85","1.50B","0.02%"
"11/15/2023","878.86","871.74","880.98","870.71","1.90B","2.11%"
"11/14/2023","860.71","863.90","866.22","855.97","1.35B","-0.08%"
"11/13/2023","861.39","861.57","863.11","853.72","1.30B","0.11%"
"11/10/2023","860.48","862.00","870.74","858.14","1.42B","-1.12%"
"11/09/2023","870.23","871.74","874.23","859.62","1.17B","-0.25%"
"11/08/2023","872.38","872.57","876.90","869.27","1.10B","0.10%"
"11/07/2023","871.54","873.63","880.02","869.91","1.15B","-0.55%"
"11/06/2023","876.34","885.81","886.33","876.34","1.10B","-0.27%"
"11/03/2023","878.73","875.42","881.86","873.04","1.12B","1.10%"
"11/02/2023","869.19","863.55","872.42","862.74","1.17B","1.65%"
"11/01/2023","855.05","855.59","860.28","849.82","1.22B","-0.17%"
"10/31/2023","856.53","865.03","865.21","851.57","1.09B","-1.07%"
"10/30/2023","865.78","855.18","867.94","854.84","837.55M","0.76%"
"10/27/2023","859.26","854.96","861.58","845.27","1.08B","1.46%"
"10/26/2023","846.89","859.83","861.05","845.61","1.22B","-2.10%"
"10/25/2023","865.04","865.62","873.81","863.53","1.11B","0.82%"
"10/24/2023","857.99","862.02","863.54","856.23","1.33B","-0.69%"
"10/20/2023","863.93","875.37","877.72","862.01","1.47B","-1.60%"
"10/19/2023","877.98","878.30","880.64","874.69","1.06M","-1.17%"
"10/18/2023","888.33","880.40","891.97","879.67","1.32B","0.83%"
"10/17/2023","880.99","880.18","886.01","877.71","973.05M","0.50%"
"10/16/2023","876.65","885.69","887.69","868.52","1.37B","-1.53%"
"10/12/2023","890.26","893.44","895.18","887.77","961.95M","-0.37%"
"10/11/2023","893.57","880.76","894.50","878.59","1.34B","1.77%"
"10/10/2023","878.02","881.87","882.12","874.31","1.03B","0.40%"
"10/09/2023","874.50","874.98","876.58","868.27","1.12B","-0.28%"
"10/06/2023","876.95","890.93","891.15","874.00","985.74M","-1.23%"
"10/05/2023","887.91","887.84","889.62","880.68","1.09B","0.18%"
"10/04/2023","886.30","873.49","889.02","872.86","1.80B","0.07%"
"10/03/2023","885.67","892.77","893.83","882.38","2.21B","-1.71%"
"10/02/2023","901.06","900.67","906.19","893.99","1.18B","0.20%"
"09/29/2023","899.28","909.59","911.23","899.28","1.56B","-1.16%"
"09/28/2023","909.88","919.65","925.74","908.50","1.75B","-1.07%"
"09/27/2023","919.75","918.26","921.24","913.88","1.32B","0.26%"
"09/26/2023","917.39","921.32","928.96","916.94","1.54B","-0.66%"
"09/25/2023","923.50","934.93","935.14","923.48","1.13B","-1.09%"
"09/22/2023","933.69","927.69","937.63","924.55","1.43B","0.67%"
"09/21/2023","927.52","921.63","929.62","920.22","1.13B","0.36%"
"09/20/2023","924.16","932.74","932.74","920.84","1.38B","-1.00%"
"09/19/2023","933.53","937.01","939.49","932.08","1.11B","-0.39%"
"09/18/2023","937.17","944.04","944.04","935.78","1.05B","-0.94%"
"09/15/2023","946.02","950.78","951.21","945.10","1.43B","-0.14%"
"09/14/2023","947.35","943.26","949.34","939.21","959.62K","0.65%"
"09/13/2023","941.24","946.28","946.28","938.70","1.01M","-0.46%"
"09/12/2023","945.63","944.15","949.43","943.22","951.69M","0.40%"
"09/11/2023","941.90","946.65","948.06","938.35","926.06M","-0.43%"
"09/08/2023","946.00","949.05","951.11","946.00","973.33K","-0.31%"
"09/07/2023","948.94","948.53","953.97","946.43","1.04B","0.02%"
"09/06/2023","948.79","946.71","952.47","944.80","1.67B","0.18%"
"09/05/2023","947.09","948.36","951.37","945.00","1.46B","-0.15%"
"09/04/2023","948.49","958.52","959.30","946.78","1.59B","-0.89%"
"09/01/2023","957.01","959.57","962.12","954.82","1.53B","-0.02%"
"08/31/2023","957.21","964.80","965.62","956.67","4.48B","-0.98%"
"08/30/2023","966.69","966.68","970.18","964.37","1.75M","0.34%"
"08/29/2023","963.46","962.46","967.06","960.23","1.56M","0.28%"
"08/28/2023","960.75","963.80","966.07","958.65","1.27B","0.03%"
"08/25/2023","960.47","957.88","961.90","954.71","1.82B","0.01%"
"08/24/2023","960.35","957.69","965.30","957.69","2.49B","0.59%"
"08/23/2023","954.71","957.33","960.22","951.50","1.73B","0.02%"
"08/22/2023","954.56","949.09","956.73","946.41","2.04B","1.34%"
"08/21/2023","941.98","939.41","945.03","933.87","1.19B","0.57%"
"08/18/2023","936.68","941.60","943.10","934.07","2.00B","-0.81%"
"08/17/2023","944.29","934.76","945.97","932.52","1.37B","0.58%"
"08/16/2023","938.88","936.72","939.78","930.15","1.49B","-0.10%"
"08/15/2023","939.78","950.26","951.24","936.93","1.43B","-1.20%"
"08/11/2023","951.23","952.18","955.45","946.97","2.46B","0.01%"
"08/10/2023","951.10","947.93","951.13","940.46","1.42B","0.32%"
"08/09/2023","948.05","944.12","948.80","939.10","1.11B","0.63%"
"08/08/2023","942.11","953.53","954.83","942.11","1.12B","-1.04%"
"08/07/2023","952.05","950.82","957.81","942.80","1.12B","0.36%"
"08/04/2023","948.68","948.81","955.73","948.46","1.14B","0.10%"
"08/03/2023","947.72","957.71","960.21","947.22","1.49B","-1.59%"
"08/02/2023","963.01","961.51","969.85","958.85","1.46B","-0.33%"
"07/31/2023","966.18","962.36","970.58","961.05","1.53B","0.90%"
"07/27/2023","957.58","947.28","960.28","942.69","1.81B","1.27%"
"07/26/2023","945.55","946.94","948.51","941.92","1.02B","-0.06%"
"07/25/2023","946.10","947.92","951.12","940.79","1.09B","0.22%"
"07/24/2023","944.01","945.28","951.88","940.96","1.18B","-0.13%"
"07/21/2023","945.22","941.01","947.74","935.58","1.50B","0.69%"
"07/20/2023","938.72","947.55","951.46","938.49","1.35B","-0.98%"
"07/19/2023","947.99","949.82","954.82","944.09","1.80B","-0.08%"
"07/18/2023","948.76","941.08","949.08","941.08","1.47B","0.66%"
"07/17/2023","942.50","939.79","945.71","934.90","1.45B","0.50%"
"07/14/2023","937.80","924.90","939.00","924.90","1.43B","1.73%"
"07/13/2023","921.83","920.74","924.74","918.19","1.16B","0.13%"
"07/12/2023","920.65","924.50","929.43","917.61","1.33B","-0.07%"
"07/11/2023","921.32","924.79","926.34","917.40","890.25M","0.16%"
"07/10/2023","919.81","916.85","920.94","908.75","1.05B","0.59%"
"07/07/2023","914.37","908.04","918.20","903.16","873.79M","-0.01%"
"07/06/2023","914.49","921.42","923.53","910.71","1.21B","-1.27%"
"07/05/2023","926.27","925.51","929.72","923.81","1.20B","-0.19%"
"07/04/2023","928.06","919.70","931.00","917.92","1.42B","0.61%"
"07/03/2023","922.40","922.27","923.41","914.05","927.80M","0.34%"
"06/30/2023","919.28","909.37","920.82","908.00","1.87B","1.84%"
"06/29/2023","902.65","897.31","911.03","891.79","2.42B","0.69%"
"06/28/2023","896.42","906.47","908.30","895.16","1.94B","-0.70%"
"06/27/2023","902.74","910.21","914.45","902.74","1.11B","-0.61%"
"06/26/2023","908.30","916.90","919.63","906.54","1.48B","-1.01%"
"06/23/2023","917.58","915.42","921.61","910.60","1.06B","-0.12%"
"06/22/2023","918.69","927.91","928.35","915.29","1.28B","-0.78%"
"06/21/2023","925.93","931.51","933.28","921.45","1.30B","-0.93%"
"06/20/2023","934.61","939.35","942.90","930.41","1.73B","-1.59%"
"06/19/2023","949.69","946.35","953.84","944.31","802.81M","0.09%"
"06/16/2023","948.82","951.16","954.62","939.84","1.60B","0.13%"
"06/15/2023","947.62","945.99","950.81","943.29","1.21B","0.16%"
"06/14/2023","946.07","949.98","951.96","944.47","1.10M","-0.13%"
"06/13/2023","947.28","940.80","950.39","939.92","928.06M","0.79%"
"06/12/2023","939.81","938.24","942.99","936.15","1.25B","-0.19%"
"06/09/2023","941.58","944.80","945.28","938.26","1.24B","-0.46%"
"06/08/2023","945.95","927.06","945.95","924.77","1.63B","2.04%"
"06/07/2023","927.00","925.37","927.68","918.94","1.46B","0.37%"
"06/06/2023","923.54","929.53","930.85","921.70","1.46B","-0.15%"
"06/02/2023","924.89","921.08","927.80","918.88","1.54B","0.83%"
"06/01/2023","917.28","925.34","927.91","916.56","1.45B","-0.80%"
"05/31/2023","924.65","919.23","924.92","916.65","2.63B","-0.24%"
"05/30/2023","926.91","933.01","934.49","923.79","1.36B","-0.52%"
"05/29/2023","931.76","928.23","933.22","927.86","972.41M","0.76%"
"05/26/2023","924.72","926.88","929.05","922.70","1.14B","-0.45%"
"05/25/2023","928.88","929.40","933.06","924.56","1.57B","-0.04%"
"05/24/2023","929.22","926.14","934.26","925.84","1.22M","-0.02%"
"05/23/2023","929.43","926.79","931.42","919.78","1.84B","-0.01%"
"05/22/2023","929.56","912.18","931.52","903.66","1.60B","1.10%"
"05/19/2023","919.44","927.70","928.80","917.52","1.58B","-0.70%"
"05/18/2023","925.91","928.07","936.59","925.91","1.42B","0.32%"
"05/17/2023","922.93","935.31","936.13","918.12","1.68B","-1.22%"
"05/16/2023","934.35","936.03","939.57","932.18","1.40B","-0.16%"
"05/15/2023","935.87","954.75","954.75","933.05","1.72B","-1.25%"
"05/12/2023","947.72","948.57","950.44","938.38","1.50B","-0.30%"
"05/11/2023","950.57","953.01","956.76","948.30","1.47B","-0.12%"
"05/10/2023","951.69","947.47","953.24","943.89","1.18B","0.26%"
"05/09/2023","949.21","949.51","953.34","943.83","1.41B","-0.05%"
"05/08/2023","949.68","936.05","949.68","932.05","1.60B","2.17%"
"05/03/2023","929.50","922.56","930.73","913.14","1.65B","0.27%"
"05/02/2023","927.01","925.86","928.64","918.67","1.03B","0.46%"
"04/28/2023","922.72","928.16","932.89","918.86","939.54M","-0.24%"
"04/27/2023","924.98","931.15","931.67","921.36","818.98M","-1.02%"
"04/26/2023","934.54","934.71","939.02","926.85","1.34B","0.31%"
"04/25/2023","931.62","938.92","940.60","930.36","1.33B","-0.83%"
"04/24/2023","939.38","936.02","940.92","934.52","1.08B","0.09%"
"04/21/2023","938.50","942.37","948.37","931.70","2.05B","-0.53%"
"04/20/2023","943.50","952.83","954.96","941.16","1.68B","-1.08%"
"04/19/2023","953.80","956.55","962.49","951.54","1.23B","-0.75%"
"04/18/2023","961.00","965.53","966.54","957.56","1.02B","-0.53%"
"04/17/2023","966.09","961.08","969.22","957.44","1.12B","0.45%"
"04/12/2023","961.76","965.82","966.28","952.52","1.20B","-0.39%"
"04/11/2023","965.51","964.87","966.41","959.95","992.93M","0.21%"
"04/10/2023","963.52","950.72","966.35","946.22","775.73M","1.32%"
"04/07/2023","950.93","947.86","955.00","945.92","936.50M","0.51%"
"04/05/2023","946.12","960.74","961.44","944.75","1.01B","-1.58%"
"04/04/2023","961.27","965.83","967.34","958.09","944.51M","-0.37%"
"04/03/2023","964.83","975.01","977.46","961.42","758.79M","-0.97%"
"03/31/2023","974.26","970.47","976.98","968.78","745.13M","0.49%"
"03/30/2023","969.55","971.63","975.04","964.65","1.05B","-0.20%"
"03/29/2023","971.45","970.93","974.30","965.49","1.03B","0.38%"
"03/28/2023","967.78","965.41","968.63","964.04","1.43B","0.81%"
"03/27/2023","960.01","962.36","962.91","956.06","760.85M","-0.04%"
"03/24/2023","960.41","963.69","966.12","958.44","970.43M","-0.09%"
"03/23/2023","961.29","954.89","965.39","951.84","1.42B","0.48%"
"03/22/2023","956.67","954.93","958.93","951.26","1.37B","0.76%"
"03/21/2023","949.49","940.00","951.41","938.19","1.21B","1.66%"
"03/20/2023","933.94","937.54","944.41","925.89","1.39B","-0.69%"
"03/17/2023","940.40","939.65","946.53","933.89","1.84B","0.81%"
"03/16/2023","932.80","928.13","936.37","921.90","1.72B","-0.55%"
"03/15/2023","937.98","923.91","944.35","923.56","1.77B","2.99%"
"03/14/2023","910.71","933.92","939.42","906.76","2.99B","-3.05%"
"03/13/2023","939.39","951.32","959.25","938.67","2.02B","-1.56%"
"03/10/2023","954.28","955.95","959.01","951.63","1.04B","-0.84%"
"03/09/2023","962.35","964.20","968.30","958.88","1.23B","0.06%"
"03/08/2023","961.77","958.13","964.54","953.36","1.40B","-0.54%"
"03/07/2023","967.02","965.74","972.48","965.36","1.75B","0.64%"
"03/03/2023","960.90","966.55","966.76","958.58","1.86B","-0.46%"
"03/02/2023","965.31","966.41","973.55","962.01","1.25B","-0.17%"
"03/01/2023","966.94","969.37","972.60","965.61","1.09B","0.14%"
"02/28/2023","965.56","973.97","976.73","964.03","2.03B","-0.39%"
"02/27/2023","969.33","973.40","975.96","968.82","987.84M","-0.45%"
"02/24/2023","973.75","986.85","987.62","972.22","1.16B","-1.27%"
"02/23/2023","986.26","989.80","990.96","982.75","1.23B","-0.51%"
"02/22/2023","991.27","995.42","996.87","988.97","934.19M","-0.65%"
"02/21/2023","997.76","992.62","998.94","987.36","966.65M","0.62%"
"02/20/2023","991.60","992.72","993.47","987.82","959.07M","0.12%"
"02/17/2023","990.44","991.95","993.57","985.41","1.28B","-0.44%"
"02/16/2023","994.81","990.55","995.98","987.33","991.59M","0.87%"
"02/15/2023","986.19","985.32","990.02","982.18","6.89B","0.01%"
"02/14/2023","986.08","993.26","994.65","983.71","1.15B","-0.49%"
"02/13/2023","990.97","986.10","993.03","984.47","904.32M","0.19%"
"02/10/2023","989.10","990.12","992.38","985.45","1.26B","-0.24%"
"02/09/2023","991.51","992.04","994.08","984.62","1.22B","-0.08%"
"02/08/2023","992.32","1,000.64","1,001.49","990.31","998.63M","-0.59%"
"02/07/2023","998.25","1,000.28","1,004.09","995.65","1.03B","-0.04%"
"02/06/2023","998.63","1,001.86","1,003.32","997.04","641.98M","-0.56%"
"02/03/2023","1,004.22","999.61","1,005.74","996.94","844.00M","0.51%"
"02/02/2023","999.11","1,004.03","1,007.11","998.64","770.56M","-0.33%"
"02/01/2023","1,002.39","996.56","1,003.93","995.91","1.13B","0.95%"
"01/31/2023","992.95","1,002.86","1,003.55","992.13","1.59B","-0.97%"
"01/30/2023","1,002.72","1,004.06","1,005.20","999.30","1.26B","-0.04%"
"01/27/2023","1,003.12","999.54","1,005.32","996.04","1.16B","0.54%"
"01/26/2023","997.69","1,004.97","1,006.22","994.82","1.29B","-0.73%"
"01/25/2023","1,005.04","1,007.48","1,008.75","1,002.17","1.17B","-0.01%"
"01/24/2023","1,005.12","1,009.80","1,013.53","1,004.93","824.13M","-0.10%"
"01/23/2023","1,006.08","1,004.42","1,010.64","1,001.88","1.11B","0.41%"
"01/20/2023","1,001.97","1,009.04","1,009.82","998.39","1.61B","-0.83%"
"01/19/2023","1,010.31","1,005.61","1,011.63","1,004.83","1.01B","0.21%"
"01/18/2023","1,008.22","1,005.34","1,010.03","1,003.28","1.09B","0.39%"
"01/17/2023","1,004.34","1,007.91","1,009.95","1,002.53","1.02B","-0.31%"
"01/16/2023","1,007.45","1,009.29","1,012.57","1,003.50","1.09B","0.10%"
"01/13/2023","1,006.49","1,014.31","1,016.63","1,001.50","1.84B","-0.52%"
"01/12/2023","1,011.80","1,013.26","1,015.10","1,006.74","1.17B","0.02%"
"01/11/2023","1,011.61","1,017.20","1,018.37","1,008.59","1.30B","-0.53%"
"01/10/2023","1,017.02","1,019.61","1,020.39","1,012.62","1.42B","-0.09%"
"01/09/2023","1,017.96","1,015.57","1,020.24","1,014.48","1.40B","1.03%"
"01/06/2023","1,007.61","1,003.79","1,011.48","1,002.84","1.66B","0.51%"
"01/05/2023","1,002.46","1,009.94","1,011.34","999.82","1.77B","-0.74%"
"01/04/2023","1,009.90","1,013.30","1,018.70","1,005.99","1.40B","-0.34%"
"01/03/2023","1,013.39","1,009.84","1,016.78","1,007.95","1.19B","0.81%"
"12/30/2022","1,005.24","1,010.12","1,014.08","1,005.10","1.77B","-0.49%"
"12/29/2022","1,010.19","998.37","1,011.44","995.90","1.17B","0.96%"
"12/28/2022","1,000.54","996.23","1,002.07","994.18","814.76M","0.45%"
"12/27/2022","996.07","986.71","998.02","986.02","1.22B","1.28%"
"12/26/2022","983.51","980.11","985.48","979.23","525.43M","0.54%"
"12/23/2022","978.21","974.47","979.92","972.89","739.02M","0.04%"
"12/22/2022","977.86","976.12","978.43","973.80","678.33M","0.43%"
"12/21/2022","973.64","975.13","975.30","969.31","940.28M","0.00%"
"12/20/2022","973.67","979.80","980.49","968.38","1.08B","-0.59%"
"12/19/2022","979.42","979.57","982.62","975.22","1.17B","-0.08%"
"12/16/2022","980.24","975.34","980.60","973.29","1.54B","0.17%"
"12/15/2022","978.58","983.87","985.33","975.72","1.09B","-0.62%"
"12/14/2022","984.70","983.50","987.28","981.22","987.36M","0.36%"
"12/13/2022","981.17","982.87","984.62","977.14","962.51M","0.22%"
"12/09/2022","979.01","977.90","983.22","974.63","817.21M","0.16%"
"12/08/2022","977.47","979.22","980.26","972.84","956.89M","-0.14%"
"12/07/2022","978.83","983.25","987.36","977.78","1.04B","-0.50%"
"12/06/2022","983.77","985.74","986.56","980.06","1.18B","-0.36%"
"12/02/2022","987.30","993.63","994.21","985.39","843.55M","-0.71%"
"12/01/2022","994.36","996.86","997.99","992.39","1.31B","0.06%"
"11/30/2022","993.78","987.32","994.48","983.53","1.73B","0.70%"
"11/29/2022","986.92","981.12","987.37","978.47","1.08B","0.75%"
"11/28/2022","979.53","978.91","982.56","976.28","793.31M","-0.38%"
"11/25/2022","983.27","985.35","985.84","980.42","743.71M","-0.49%"
"11/24/2022","988.13","991.12","992.12","984.82","948.24M","0.03%"
"11/23/2022","987.84","985.06","990.17","983.13","1.32B","0.60%"
"11/22/2022","981.97","985.15","991.22","979.59","1.40B","-0.28%"
"11/21/2022","984.74","978.92","986.35","976.91","911.52M","0.32%"
"11/18/2022","981.62","980.92","983.55","977.37","932.84M","0.09%"
"11/17/2022","980.74","981.81","983.21","977.47","1.01B","-0.39%"
"11/16/2022","984.61","991.42","991.67","981.99","1.26B","-0.77%"
"11/15/2022","992.23","993.04","996.30","989.20","1.25B","0.01%"
"11/14/2022","992.15","997.43","1,000.05","988.46","1.04B","-0.91%"
"11/11/2022","1,001.30","999.32","1,003.34","994.96","1.65B","1.38%"
"11/10/2022","987.63","982.93","990.30","981.00","1.03B","-0.18%"
"11/09/2022","989.39","994.96","996.86","987.55","1.36B","-0.55%"
"11/08/2022","994.83","990.23","996.85","990.02","994.71M","0.77%"
"11/07/2022","987.27","993.31","995.52","984.97","1.24B","-0.25%"
"11/04/2022","989.77","991.58","997.03","989.30","1.20B","0.01%"
"11/03/2022","989.65","988.66","992.31","986.72","1.04B","-0.18%"
"11/02/2022","991.48","991.04","994.97","987.62","1.01B","0.20%"
